Series_ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MLUQS01NR0111004,,,,,,,1047,473,,
MLUQS02NR0111004,,,,,,,,,,
MLUQS04NR0111004,,,,,,491,,,,
MLUQS05NR0111004,,,,,,,,,,
MLUQS06NR0111004,21138,4364,2792,1875,1106,6225,9813,6218,4940,4073
MLUQS08NR0111004,,,975,,,,,853,,
MLUQS09NR0111004,,,,,,,,,,
MLUQS10NR0111004,,,,,,,,,,
MLUQS11NR0111004,,,,,,,,,,
MLUQS12NR0111004,1752,2225,1363,514,1034,1183,3588,1066,954,1352
MLUQS13NR0111004,,,,956,,615,796,285,,
MLUQS15NR0111004,,,,,,,,,,
MLUQS16NR0111004,,,,,,,,,,
MLUQS17NR0111004,1430,1124,606,1794,946,1724,2583,491,1494,2556
MLUQS18NR0111004,,,,,1117,2549,5198,827,442,
MLUQS19NR0111004,,,,,,,,,,
MLUQS20NR0111004,,498,,,,,,1352,,
MLUQS21NR0111004,,,,,,,489,530,,1118
MLUQS22NR0111004,,,,,,,234,,,
MLUQS23NR0111004,,,,,,,,,,
MLUQS24NR0111004,,,,,,,,,,
MLUQS25NR0111004,,,,,,516,270,302,719,687
MLUQS26NR0111004,906,649,2342,822,752,667,1457,,,3112
MLUQS27NR0111004,,,,,,,895,,,
MLUQS28NR0111004,,184,,,,,,,,
MLUQS29NR0111004,,928,,,523,1190,,403,296,
MLUQS30NR0111004,,,,,,,,,,
MLUQS31NR0111004,,,,,,,,,,
MLUQS32NR0111004,,,,,,651,1006,,,
MLUQS33NR0111004,,,,,,,,,,
MLUQS34NR0111004,,,,476,735,466,1119,1572,1107,1835
MLUQS35NR0111004,,,,,,,,,,
MLUQS36NR0111004,740,1572,980,915,1361,800,2136,731,,2958
MLUQS37NR0111004,1165,602,,,,,,,,
MLUQS38NR0111004,,,,,,,,,,
MLUQS39NR0111004,435,833,,583,,4992,1214,805,305,
MLUQS40NR0111004,608,,,,,,737,,,
MLUQS41NR0111004,,,,,,,,,,
MLUQS42NR0111004,,,,,,,,810,355,
MLUQS44NR0111004,,,,,,,,,,
MLUQS45NR0111004,,,,447,,742,,367,,
MLUQS46NR0111004,,,,,,,,,,
MLUQS47NR0111004,,,,,839,,,,,
MLUQS48NR0111004,826,358,,704,,388,1915,1941,613,
MLUQS49NR0111004,,,,,,,,,,
MLUQS50NR0111004,,,,,,,,,,
MLUQS51NR0111004,,,,,,,,298,,817
MLUQS53NR0111004,1529,,367,,,389,,,,306
MLUQS54NR0111004,,,,,,,,,,
MLUQS55NR0111004,,501,,,,,1468,,659,
MLUQS56NR0111004,,,,,,,,,,
MLUQS01NR0112004,,,,,,,,658,,
MLUQS02NR0112004,,,,,,,883,1048,710,1012
MLUQS04NR0112004,1589,1155,1016,,,,1319,3137,1600,1416
MLUQS05NR0112004,,,,,,,613,,,520
MLUQS06NR0112004,5806,32465,3529,36040,44456,45528,46779,56645,131168,264063
MLUQS08NR0112004,,,,,,,875,1885,400,808
MLUQS09NR0112004,,,,,,885,,1077,550,706
MLUQS10NR0112004,,,,,,,,,,
MLUQS11NR0112004,,,,,,,,,,
MLUQS12NR0112004,49637,47752,39982,40558,6264,10763,63720,26996,11578,2561
MLUQS13NR0112004,,817,,510,,,,770,1607,393
MLUQS15NR0112004,955,684,1077,1209,,777,355,,,360
MLUQS16NR0112004,,,,,1064,,836,,,352
MLUQS17NR0112004,31759,32055,26433,22574,20693,28277,27084,26909,28965,26360
MLUQS18NR0112004,1195,,,3339,522,4174,1694,,,
MLUQS19NR0112004,,,,,,,,,,
MLUQS20NR0112004,,700,,1001,,387,503,,,
MLUQS21NR0112004,,2555,972,1044,1202,2517,1969,6671,4554,3170
MLUQS22NR0112004,,2519,2008,712,461,1239,3355,3841,8230,4098
MLUQS23NR0112004,,1500,,,454,,,708,412,
