Series_ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
MLUMS00NN0103003,2249,2026,1966,1732,1850,2675,3170,2557,2714,2450
MLUMS00NN0104003,17,9,23,9,12,24,35,22,30,27
MLUMS00NN0008003,850,797,751,648,595,678,771,745,810,750
MLUMS00NN0009003,82,75,66,56,58,78,78,73,64,60
MLUMS00NN0010003,245,169,160,143,146,179,195,109,182,169
MLUMS00NN0011003,111,93,86,66,63,69,76,59,61,62
MLUMS00NN0012003,295,220,179,128,131,149,201,134,124,134
MLUMS00NN0013003,48,42,41,26,27,22,28,17,17,20
MLUMS00NN0014003,350,226,273,341,418,557,553,309,279,175
MLUMS00NN0015003,156,82,98,86,78,146,241,93,95,69
MLUMS00NN0016003,125,118,98,74,90,132,235,131,101,102
MLUMS00NN0017003,30,27,24,34,28,37,49,43,34,42
MLUMS00NN0018003,105,101,77,69,75,122,193,116,90,78
MLUMS00NN0019003,328,282,300,250,265,501,559,199,230,188
MLUMS00NN0020003,233,167,204,172,215,316,400,224,200,162
MLUMS00NN0021003,366,194,222,184,225,352,686,210,162,182
MLUMS00NN0022003,397,322,311,288,293,574,949,292,246,243
MLUMS00NN0023003,425,235,272,255,287,402,1046,331,270,294
MLUMS00NN0024003,481,230,217,173,190,285,626,198,184,192
MLUMS00NN0025003,231,137,167,136,135,220,397,152,137,124
MLUMS00NN0026003,927,821,1034,925,1068,1647,1827,811,821,602
MLUMS00NN0027003,218,168,164,148,184,288,323,198,194,166
MLUMS00NN0028003,147,112,95,79,72,118,194,79,96,72
MLUMS00NN0057003,381,326,313,265,335,447,514,373,309,280
MLUMS00NN0058003,752,688,794,640,775,835,927,874,851,754
MLUMS00NN0059003,880,807,868,641,842,1111,1392,1015,834,772
