Series_ID,X2009
MLUMS01NN0008003,12
MLUMS02NN0008003,26
MLUMS04NN0008003,3
MLUMS05NN0008003,12
MLUMS06NN0008003,126
MLUMS08NN0008003,
MLUMS09NN0008003,
MLUMS10NN0008003,4
MLUMS11NN0008003,
MLUMS12NN0008003,16
MLUMS13NN0008003,23
MLUMS15NN0008003,
MLUMS16NN0008003,30
MLUMS17NN0008003,46
MLUMS18NN0008003,
MLUMS19NN0008003,24
MLUMS20NN0008003,9
MLUMS21NN0008003,17
MLUMS22NN0008003,4
MLUMS23NN0008003,4
MLUMS24NN0008003,
MLUMS25NN0008003,6
MLUMS26NN0008003,23
MLUMS27NN0008003,20
MLUMS28NN0008003,11
MLUMS29NN0008003,17
MLUMS30NN0008003,
MLUMS31NN0008003,7
MLUMS32NN0008003,
MLUMS33NN0008003,
MLUMS34NN0008003,11
MLUMS35NN0008003,
MLUMS36NN0008003,17
MLUMS37NN0008003,12
MLUMS38NN0008003,
MLUMS39NN0008003,31
MLUMS40NN0008003,
MLUMS41NN0008003,29
MLUMS42NN0008003,74
MLUMS44NN0008003,
MLUMS45NN0008003,9
MLUMS46NN0008003,
MLUMS47NN0008003,6
MLUMS48NN0008003,14
MLUMS49NN0008003,
MLUMS50NN0008003,
MLUMS51NN0008003,11
MLUMS53NN0008003,30
MLUMS54NN0008003,
MLUMS55NN0008003,67
MLUMS56NN0008003,
MLUMS01NN0009003,
MLUMS02NN0009003,
MLUMS04NN0009003,
MLUMS05NN0009003,
MLUMS06NN0009003,24
MLUMS08NN0009003,
MLUMS09NN0009003,
MLUMS10NN0009003,
MLUMS11NN0009003,
MLUMS12NN0009003,8
MLUMS13NN0009003,
MLUMS15NN0009003,
MLUMS16NN0009003,
MLUMS17NN0009003,
MLUMS18NN0009003,
MLUMS19NN0009003,
MLUMS20NN0009003,
MLUMS21NN0009003,8
MLUMS22NN0009003,
MLUMS23NN0009003,
MLUMS24NN0009003,
MLUMS25NN0009003,
MLUMS26NN0009003,
MLUMS27NN0009003,
MLUMS28NN0009003,
MLUMS29NN0009003,
MLUMS30NN0009003,
MLUMS31NN0009003,
MLUMS32NN0009003,
MLUMS33NN0009003,
MLUMS34NN0009003,
MLUMS35NN0009003,
MLUMS36NN0009003,
MLUMS37NN0009003,
MLUMS38NN0009003,
MLUMS39NN0009003,
MLUMS40NN0009003,
MLUMS41NN0009003,
MLUMS42NN0009003,8
MLUMS44NN0009003,
MLUMS45NN0009003,
MLUMS46NN0009003,
MLUMS47NN0009003,
MLUMS48NN0009003,
MLUMS49NN0009003,
MLUMS50NN0009003,
MLUMS51NN0009003,
MLUMS53NN0009003,
MLUMS54NN0009003,
MLUMS55NN0009003,
MLUMS56NN0009003,
MLUMS01NN0010003,20
MLUMS02NN0010003,
MLUMS04NN0010003,
MLUMS05NN0010003,
MLUMS06NN0010003,
MLUMS08NN0010003,
MLUMS09NN0010003,
MLUMS10NN0010003,
MLUMS11NN0010003,
MLUMS12NN0010003,
MLUMS13NN0010003,22
MLUMS15NN0010003,
MLUMS16NN0010003,
MLUMS17NN0010003,
MLUMS18NN0010003,
MLUMS19NN0010003,
MLUMS20NN0010003,
MLUMS21NN0010003,
MLUMS22NN0010003,
MLUMS23NN0010003,
MLUMS24NN0010003,
MLUMS25NN0010003,4
MLUMS26NN0010003,
MLUMS27NN0010003,
MLUMS28NN0010003,
MLUMS29NN0010003,
MLUMS30NN0010003,
MLUMS31NN0010003,
MLUMS32NN0010003,
MLUMS33NN0010003,
MLUMS34NN0010003,
MLUMS35NN0010003,
MLUMS36NN0010003,
MLUMS37NN0010003,13
MLUMS38NN0010003,
MLUMS39NN0010003,
MLUMS40NN0010003,
MLUMS41NN0010003,
MLUMS42NN0010003,17
MLUMS44NN0010003,3
MLUMS45NN0010003,83
MLUMS46NN0010003,
MLUMS47NN0010003,
MLUMS48NN0010003,5
MLUMS49NN0010003,
MLUMS50NN0010003,
MLUMS51NN0010003,10
MLUMS53NN0010003,
MLUMS54NN0010003,
MLUMS55NN0010003,
MLUMS56NN0010003,
MLUMS01NN0011003,6
MLUMS02NN0011003,
MLUMS04NN0011003,
MLUMS05NN0011003,
MLUMS06NN0011003,7
MLUMS08NN0011003,
MLUMS09NN0011003,
MLUMS10NN0011003,
MLUMS11NN0011003,
MLUMS12NN0011003,
MLUMS13NN0011003,21
MLUMS15NN0011003,
MLUMS16NN0011003,
MLUMS17NN0011003,
MLUMS18NN0011003,
MLUMS19NN0011003,
MLUMS20NN0011003,
MLUMS21NN0011003,10
MLUMS22NN0011003,
MLUMS23NN0011003,
MLUMS24NN0011003,
MLUMS25NN0011003,
MLUMS26NN0011003,
MLUMS27NN0011003,
MLUMS28NN0011003,
MLUMS29NN0011003,
MLUMS30NN0011003,
MLUMS31NN0011003,
MLUMS32NN0011003,
MLUMS33NN0011003,
MLUMS34NN0011003,
MLUMS35NN0011003,
MLUMS36NN0011003,
MLUMS37NN0011003,
MLUMS38NN0011003,
MLUMS39NN0011003,
MLUMS40NN0011003,
MLUMS41NN0011003,
MLUMS42NN0011003,
MLUMS44NN0011003,
MLUMS45NN0011003,8
MLUMS46NN0011003,
MLUMS47NN0011003,
MLUMS48NN0011003,
MLUMS49NN0011003,
MLUMS50NN0011003,
MLUMS51NN0011003,6
