Industry Type,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Total all industries,18963,15980,16466,13998,15493,21137,28030,19564,18521,17080
"Total, private",17846,15018,15534,13238,14714,20130,26437,17887,17046,15966
"Agriculture, forestry, fishing and hunting",1025,811,711,651,668,698,742,733,645,730
"Mining, quarrying, and oil and gas extraction",101,69,75,58,66,103,314,102,75,142
Utilities,40,25,25,20,20,28,39,30,30,30
Construction,2013,1821,1975,1546,1952,2393,2833,2262,1994,1806
Manufacturing,6150,4618,4839,4281,4643,6872,9627,4523,4397,3886
Food,850,797,751,648,595,678,771,745,810,750
Beverage and tobacco products,82,75,66,56,58,78,78,73,64,60
Textile mills,245,169,160,143,146,179,195,109,182,169
Textile product mills,111,93,86,66,63,69,76,59,61,62
Apparel,295,220,179,128,131,149,201,134,124,134
Leather and allied products,48,42,41,26,27,22,28,17,17,20
Wood products,350,226,273,341,418,557,553,309,279,175
Paper,156,82,98,86,78,146,241,93,95,69
Printing and related support activities,125,118,98,74,90,132,235,131,101,102
Petroleum and coal products,30,27,24,34,28,37,49,43,34,42
Chemicals,105,101,77,69,75,122,193,116,90,78
Plastics and rubber products,328,282,300,250,265,501,559,199,230,188
Nonmetallic mineral products,233,167,204,172,215,316,400,224,200,162
Primary metals,366,194,222,184,225,352,686,210,162,182
Fabricated metal products,397,322,311,288,293,574,949,292,246,243
Machinery,425,235,272,255,287,402,1046,331,270,294
Computer and electronic products,481,230,217,173,190,285,626,198,184,192
Electrical equipment and appliance mfg.,231,137,167,136,135,220,397,152,137,124
Transportation equipment,927,821,1034,925,1068,1647,1827,811,821,602
Furniture and related products,218,168,164,148,184,288,323,198,194,166
Miscellaneous manufacturing,147,112,95,79,72,118,194,79,96,72
Wholesale trade,318,222,251,184,220,363,653,328,262,282
Retail trade,1327,1165,1196,991,1048,1457,1965,1574,1448,1393
Transportation and warehousing,965,853,1011,934,982,1267,1491,1160,1180,1194
Information,598,454,383,350,383,545,752,548,522,441
Finance and insurance,384,322,272,310,510,552,677,430,313,305
Real estate and rental and leasing,91,79,92,54,71,118,165,117,95,74
Professional and technical services,522,420,427,352,420,564,800,599,555,510
Management of companies and enterprises,35,38,27,28,42,61,104,60,49,58
Administrative and waste services,2266,2035,1989,1741,1862,2699,3205,2579,2744,2477
Educational services,82,60,70,63,67,100,149,161,167,182
Health care and social assistance,499,522,585,415,450,580,675,709,738,692
"Arts, entertainment, and recreation",285,287,293,245,240,311,389,363,338,329
Accommodation and food services,886,980,1083,844,905,1238,1606,1386,1294,1221
"Other services, except public administration",217,198,201,148,155,174,242,218,193,179
Unclassified,42,39,29,23,10,7,9,5,7,35
Government,1117,962,932,760,779,1007,1593,1677,1475,1114
Federal,134,142,154,119,134,118,166,204,149,91
State,205,177,196,130,136,184,305,292,331,238
Local,778,643,582,511,509,705,1122,1181,995,785
"Total, private nonfarm",16821,14207,14823,12587,14046,19432,25695,17154,16401,15236
Crop production,372,268,237,243,214,227,258,267,234,230
Animal production and aquaculture,4,6,,,,,,,,
Forestry and logging,,,,,3,3,,,,
"Fishing, hunting and trapping",,,,,,,,,,
Agriculture and forestry support activities,645,535,464,406,449,465,476,461,407,495
