Job ID,Agency,Posting Type,Number Of Positions,Business Title,Civil Service Title,Title Code No,Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
142473,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Director, Customer Service",ADMINISTRATIVE STAFF ANALYST (,1002D,0,54740,146276,Annual,"250 Broadway, N.Y.",Sandy Housing Rehab, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",1/28/2014 0:00,,1/28/2014 0:00,3/22/2016 0:00
144973,DEPT OF HEALTH/MENTAL HYGIENE,Internal,3,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,21513,2,44589,61104,Annual,"455 First Ave., N.Y.",Virology, ,"455 First Ave., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2/26/2014 0:00,,9/15/2015 0:00,3/22/2016 0:00
144973,DEPT OF HEALTH/MENTAL HYGIENE,External,3,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,21513,2,44589,61104,Annual,"455 First Ave., N.Y.",Virology, ,"455 First Ave., N.Y.",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2/26/2014 0:00,,9/15/2015 0:00,3/22/2016 0:00
161651,DEPARTMENT OF INVESTIGATION,External,15,Investigator,SPECIAL INVESTIGATOR,31130,0,47040,60000,Annual,80 Maiden Lane,Default, , ,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",8/14/2014 0:00,,8/14/2014 0:00,3/22/2016 0:00
163183,DEPT OF ENVIRONMENT PROTECTION,External,1,Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,13651,1,24,33,Hourly,59-17 Junction Blvd Corona Ny,Lead Monitor - Lefrak, ,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,8/27/2014 0:00,,8/27/2014 0:00,3/22/2016 0:00
163776,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Stormwater Program Coordinator,ASSOCIATE PROJECT MANAGER,22427,3,75981,103007,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection,35 Hours per week/Day,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,8/27/2014 0:00,,8/27/2014 0:00,3/22/2016 0:00
163776,DEPT OF ENVIRONMENT PROTECTION,External,1,Stormwater Program Coordinator,ASSOCIATE PROJECT MANAGER,22427,3,75981,103007,Annual,59-17 Junction Blvd Corona Ny,Dept of Environment Protection,35 Hours per week/Day,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,8/27/2014 0:00,,8/27/2014 0:00,3/22/2016 0:00
146208,DEPARTMENT OF FINANCE,External,2,Database Administrator,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,59 Maiden Lane,Microsoft Platform Apps,"Unless otherwise indicated, all positions require a five-day workweek.","59 Maiden Lane, Manhattan*  *Current location but could be subject to change.",,New York City Residency is not required for this position,3/12/2014 0:00,,3/12/2014 0:00,3/22/2016 0:00
146208,DEPARTMENT OF FINANCE,Internal,2,Database Administrator,COMPUTER SYSTEMS MANAGER,10050,M1,49492,120000,Annual,59 Maiden Lane,Microsoft Platform Apps,"Unless otherwise indicated, all positions require a five-day workweek.","59 Maiden Lane, Manhattan*  *Current location but could be subject to change.",,New York City Residency is not required for this position,3/12/2014 0:00,,3/12/2014 0:00,3/22/2016 0:00
146713,DEPT OF ENVIRONMENT PROTECTION,External,1,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,13622,0,64609,100849,Annual,"3701 Jerome Ave, Bx NY 10467",Croton Filtration Plant,35 hrs per week/day,"3701 Jerome Ave, Bx NY 10467",,New York City Residency is not required for this position,3/17/2014 0:00,,12/22/2015 0:00,3/22/2016 0:00
146713,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Computer Specialist (Operations),COMPUTER SPECIALIST (OPERATION,13622,0,64609,100849,Annual,"3701 Jerome Ave, Bx NY 10467",Croton Filtration Plant,35 hrs per week/day,"3701 Jerome Ave, Bx NY 10467",,New York City Residency is not required for this position,3/17/2014 0:00,,12/22/2015 0:00,3/22/2016 0:00
147342,DEPARTMENT OF BUILDINGS,Internal,5,Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,86240,Annual,"280 Broadway, 6th Floor, N.Y.",Citywide,35 hours (minimum),Citywide,,New York City Residency is not required for this position,3/21/2014 0:00,,3/21/2014 0:00,3/22/2016 0:00
167179,NYC EMPLOYEES RETIREMENT SYS,External,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,13642,4,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management, , ,,New York City Residency is not required for this position  NYCERS is an Equal Opportunity Employer  M/F/H/V,11/19/2014 0:00,,11/19/2014 0:00,3/22/2016 0:00
167179,NYC EMPLOYEES RETIREMENT SYS,Internal,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,13642,4,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management, , ,,New York City Residency is not required for this position  NYCERS is an Equal Opportunity Employer  M/F/H/V,11/19/2014 0:00,,11/19/2014 0:00,3/22/2016 0:00
168165,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Project Coordinator, District Public Health Brooklyn",ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,485 Throop Ave Brooklyn,District Public Health Brklyn, ,"485 Throop Avenue, Brooklyn, NY, 11221",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/18/2014 0:00,,9/18/2014 0:00,3/22/2016 0:00
147342,DEPARTMENT OF BUILDINGS,External,5,Plan Examiner,PLAN EXAMINER (BLDGS),22410,0,59309,86240,Annual,"280 Broadway, 6th Floor, N.Y.",Citywide,35 hours (minimum),Citywide,,New York City Residency is not required for this position,3/21/2014 0:00,,3/21/2014 0:00,3/22/2016 0:00
148717,NYC HOUSING AUTHORITY,Internal,3,ASBESTOS HAZARD INVESTIGATOR,ASBESTOS HAZARD INVESTIGATOR,31312,0,45876,68840,Annual,Tech Svcs-Env Hlth&Safety,Technical Service Department, , ,,NYCHA has no residency requirements.,9/30/2014 0:00,,1/12/2015 0:00,3/22/2016 0:00
148717,NYC HOUSING AUTHORITY,External,3,ASBESTOS HAZARD INVESTIGATOR,ASBESTOS HAZARD INVESTIGATOR,31312,0,45876,68840,Annual,Tech Svcs-Env Hlth&Safety,Technical Service Department, , ,,NYCHA has no residency requirements.,9/30/2014 0:00,,1/12/2015 0:00,3/22/2016 0:00
148869,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Clinical Systems Integration Coordinator,CITY RESEARCH SCIENTIST,21744,2,63662,79899,Annual,42-09 28th Street,"Alcohol, Drug Prev & Treatment", ,"42-09 28th Street, Queens, NY, 11101",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",4/9/2014 0:00,,4/9/2014 0:00,3/22/2016 0:00
168165,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Project Coordinator, District Public Health Brooklyn",ADMINISTRATIVE STAFF ANALYST (,1002A,0,56937,88649,Annual,485 Throop Ave Brooklyn,District Public Health Brklyn, ,"485 Throop Avenue, Brooklyn, NY, 11221",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",9/18/2014 0:00,,9/18/2014 0:00,3/22/2016 0:00
168874,DEPT OF ENVIRONMENT PROTECTION,Internal,1,REPOST - Per Diem - Remote Learning Team Specialist,COMPUTER PROGRAMMER ANALYST,13651,1,45174,62370,Annual,59-17 Junction Blvd Corona Ny,Lead Monitor - Lefrak, ,59-17 Junction Blvd Corona Ny,,New York City Residency is not required for this position,9/22/2014 0:00,,10/10/2014 0:00,3/22/2016 0:00
